d	f	mean
1	0.1	na
1	0.15	na
1	0.2	na
1	0.25	na
1	0.3	na
1	0.35	na
1	0.4	na
1	0.45	na
1	0.5	na
1	0.55	6.4239
1	0.6	6.079
1	0.65	6.49555555555555
1	0.7	6.82063157894737
1	0.75	7.28863157894737
1	0.8	8.156
1	0.85	7.9695
1	0.9	7.9878
1	0.95	8.0484
1	1	7.9874
1	1.05	8.0778
1	1.1	8.0593
1	1.15	8.267
1	1.2	7.9188
1	1.25	8.0406
1	1.3	8.2795
1	1.35	8.1595
1	1.4	8.9712
1	1.45	8.1483
1	1.5	8.2214
2	0.1	na
2	0.15	na
2	0.2	na
2	0.25	na
2	0.3	na
2	0.35	6.6226
2	0.4	7.44852631578947
2	0.45	8.0135
2	0.5	9.32332283105023
2	0.55	10.0644
2	0.6	10.4118
2	0.65	10.716
2	0.7	10.1159
2	0.75	10.9343
2	0.8	10.5195789473684
2	0.85	10.5393
2	0.9	9.7543
2	0.95	10.1313684210526
2	1	9.9933
2	1.05	5.8225
2	1.1	5.3564
2	1.15	5.1674
2	1.2	4.9113
2	1.25	5.332
2	1.3	5.0827
2	1.35	5.106
2	1.4	4.9927
2	1.45	4.5149
2	1.5	5.0706
3	0.1	na
3	0.15	na
3	0.2	na
3	0.25	6.9554
3	0.3	7.3362
3	0.35	9.4936
3	0.4	10.7938
3	0.45	12.0142
3	0.5	11.7538
3	0.55	12.14
3	0.6	11.4194
3	0.65	11.0651
3	0.7	8.1498
3	0.75	7.1588
3	0.8	6.5914
3	0.85	6.5689
3	0.9	7.2678
3	0.95	6.9541
3	1	5.8155
3	1.05	6.172
3	1.1	6.2936
3	1.15	4.9858
3	1.2	5.2912
3	1.25	6.1859
3	1.3	6.0228
3	1.35	5.9192
3	1.4	5.317
3	1.45	5.1382
3	1.5	4.9874
4	0.1	na
4	0.15	na
4	0.2	na
4	0.25	6.2444
4	0.3	10.7785
4	0.35	12.3157894736842
4	0.4	13.3084
4	0.45	12.581
4	0.5	12.3321
4	0.55	9.4138
4	0.6	9.465
4	0.65	7.8053
4	0.7	7.3786
4	0.75	8.2185
4	0.8	7.3817
4	0.85	7.078
4	0.9	7.581
4	0.95	6.6996
4	1	6.9898
4	1.05	5.9365
4	1.1	6.0566
4	1.15	5.7839
4	1.2	5.7865
4	1.25	5.5049
4	1.3	4.9333
4	1.35	5.374
