d	f	mean
1	0.1	0.05
1	0.15	0.85
1	0.2	1.05
1	0.25	1.15
1	0.3	1.45
1	0.35	1.7
1	0.4	2.15
1	0.45	3.3
1	0.5	2.65
1	0.55	3.7
1	0.6	3.8
1	0.65	5.65
1	0.7	4.95
1	0.75	6.05
1	0.8	6.8
1	0.85	6.25
1	0.9	5.8
1	0.95	5
1	1	7.65
1	1.05	7.1
1	1.1	8.35
1	1.15	7.95
1	1.2	7.1
1	1.25	8.15
1	1.3	6.4
1	1.35	9.35
1	1.4	8
1	1.45	8.35
1	1.5	9.5
2	0.1	0.25
2	0.15	2.15
2	0.2	2.8
2	0.25	3.05
2	0.3	6.15
2	0.35	5.7
2	0.4	8.6
2	0.45	8.8
2	0.5	10
2	0.55	8.2
2	0.6	10
2	0.65	11.25
2	0.7	12.35
2	0.75	11.35
2	0.8	12.15
2	0.85	11.8
2	0.9	12.9
2	0.95	14.55
2	1	16.25
2	1.05	12.9
2	1.1	12.3
2	1.15	14.45
2	1.2	13.1052631578947
2	1.25	12.85
2	1.3	13.85
2	1.35	13.4736842105263
2	1.4	13.8421052631579
2	1.45	11.5789473684211
2	1.5	12.35
3	0.1	1.15
3	0.15	3.2
3	0.2	7.1
3	0.25	9.05
3	0.3	9.1
3	0.35	14.45
3	0.4	11.95
3	0.45	14.5
3	0.5	14.35
3	0.55	16.05
3	0.6	16.95
3	0.65	17.55
3	0.7	15.25
3	0.75	15.8
3	0.8	16.5
3	0.85	14.7
3	0.9	15.05
3	0.95	19.3157894736842
3	1	16.75
3	1.05	14.4736842105263
3	1.1	15.85
3	1.15	14.45
3	1.2	14.2
3	1.25	14.15
3	1.3	14.4
3	1.35	13.25
3	1.4	12.4444444444444
3	1.45	14.8421052631579
3	1.5	13.2631578947368
4	0.1	2.25
4	0.15	5.8
4	0.2	9.2
4	0.25	13.15
4	0.3	16.25
4	0.35	16.4
4	0.4	18.35
4	0.45	17.5
4	0.5	20.05
4	0.55	21.2
4	0.6	21.3
4	0.65	18.5555555555556
4	0.7	19.55
4	0.75	17.2105263157895
4	0.8	16.85
4	0.85	16.7368421052632
4	0.9	16
4	0.95	15.7368421052632
4	1	16.6
4	1.05	15.1
4	1.1	13.5789473684211
4	1.15	13.25
4	1.2	11.95
4	1.25	10.85
4	1.3	12.1578947368421
4	1.35	10.9
4	1.4	11.8421052631579
4	1.45	12.05
4	1.5	10.5789473684211
5	0.1	3.57894736842105
5	0.15	9.7
5	0.2	11.6
5	0.25	16.05
5	0.3	18.05
5	0.35	19.8
5	0.4	23.15
5	0.45	23
5	0.5	21.75
5	0.55	21
5	0.6	19.9
5	0.65	20
5	0.7	19.4
5	0.75	16.95
5	0.8	17.45
5	0.85	17.45
5	0.9	16.3
5	0.95	14.25
5	1	13.85
5	1.05	13
5	1.1	14.2
5	1.15	11.4736842105263
5	1.2	11.9
5	1.25	11.3
5	1.3	8.9
5	1.35	10.85
5	1.4	10.45
5	1.45	9.3
5	1.5	9.85
6	0.1	5.55
6	0.15	13.55
6	0.2	15.75
6	0.25	21.1
6	0.3	20.6
6	0.35	22.15
6	0.4	24.7894736842105
6	0.45	23.05
6	0.5	21.2105263157895
6	0.55	23.3
6	0.6	20.9411764705882
6	0.65	18.9
6	0.7	18.2105263157895
6	0.75	17
6	0.8	15.3157894736842
6	0.85	15.95
6	0.9	14.45
6	0.95	12.55
6	1	12.8
6	1.05	11.65
6	1.1	9.15
6	1.15	11.35
6	1.2	8.55555555555556
6	1.25	10.2105263157895
6	1.3	9.35
6	1.35	9.1
6	1.4	9.9
6	1.45	8.10526315789474
6	1.5	7.7
7	0.1	7.75
7	0.15	14.7368421052632
7	0.2	19.7368421052632
7	0.25	24.25
7	0.3	28.6
7	0.35	26
7	0.4	23.75
7	0.45	21.75
7	0.5	20.5
7	0.55	21.05
7	0.6	19.45
7	0.65	17.75
7	0.7	16.85
7	0.75	15
7	0.8	14.05
7	0.85	13.1
7	0.9	12.3684210526316
7	0.95	11.25
7	1	11.5
7	1.05	12.05
7	1.1	10.1052631578947
7	1.15	9.6
7	1.2	9.15
7	1.25	9
