d	f	mean
1	0.1	na
1	0.15	na
1	0.2	na
1	0.25	na
1	0.3	na
1	0.35	na
1	0.4	na
1	0.45	na
1	0.5	na
1	0.55	1
1	0.6	1.15
1	0.65	1.33333333333333
1	0.7	1.10526315789474
1	0.75	1.15789473684211
1	0.8	1.85
1	0.85	1.85
1	0.9	1.6
1	0.95	1.8
1	1	1.8
1	1.05	2.05
1	1.1	2.1
1	1.15	2.15
1	1.2	1.8
1	1.25	2.15
1	1.3	2.5
1	1.35	2.25
1	1.4	2.65
1	1.45	2
1	1.5	2.45
2	0.1	na
2	0.15	na
2	0.2	na
2	0.25	na
2	0.3	na
2	0.35	1.45
2	0.4	2.10526315789474
2	0.45	1.25
2	0.5	2.7
2	0.55	3.25
2	0.6	3.75
2	0.65	4.1
2	0.7	3.45
2	0.75	5.15
2	0.8	4.78947368421053
2	0.85	4.95
2	0.9	4
2	0.95	4.68421052631579
2	1	5.4
2	1.05	5.3
2	1.1	5.05
2	1.15	4.95
2	1.2	4.75
2	1.25	5.2
2	1.3	4.95
2	1.35	5
2	1.4	4.85
2	1.45	4.4
2	1.5	4.95
3	0.1	na
3	0.15	na
3	0.2	na
3	0.25	0.95
3	0.3	1.5
3	0.35	2.75
3	0.4	4.55
3	0.45	5.2
3	0.5	5.15
3	0.55	5.75
3	0.6	5
3	0.65	5.75
3	0.7	7.65
3	0.75	6.95
3	0.8	6.4
3	0.85	6.4
3	0.9	7.15
3	0.95	6.85
3	1	5.7
3	1.05	6.05
3	1.1	6.2
3	1.15	4.9
3	1.2	5.15
3	1.25	5.95
3	1.3	5.9
3	1.35	5.75
3	1.4	5.15
3	1.45	4.8
3	1.5	4.65
4	0.1	na
4	0.15	na
4	0.2	na
4	0.25	0.65
4	0.3	3.2
4	0.35	5.21052631578947
4	0.4	6.75
4	0.45	6.15
4	0.5	7.75
4	0.55	9.1
4	0.6	9.25
4	0.65	7.65
4	0.7	7.2
4	0.75	8.1
4	0.8	7.15
4	0.85	6.7
4	0.9	7.25
4	0.95	6.35
4	1	6.65
4	1.05	5.2
4	1.1	5.2
4	1.15	5.3
4	1.2	5.45
4	1.25	5.25
4	1.3	4.8
4	1.35	5.2
4	1.4	5.2
4	1.45	4.5
4	1.5	4.2
5	0.1	na
5	0.15	na
5	0.2	na
5	0.25	3.57894736842105
5	0.3	6.5
5	0.35	7.6
