d	f	mean
1	0.1	11.0891578947368
1	0.15	11.4809473684211
1	0.2	12.1995
1	0.25	12.5269
1	0.3	12.6678
1	0.35	13.2519
1	0.4	13.0701
1	0.45	13.3289
1	0.5	13.5721
1	0.55	13.7057
1	0.6	13.7246
1	0.65	13.9396470588235
1	0.7	13.4747
1	0.75	14.2614736842105
1	0.8	13.6046
1	0.85	13.3378
1	0.9	13.095
1	0.95	13.7201
1	1	13.4793
1	1.05	13.9636
1	1.1	13.9245
1	1.15	14.3526
1	1.2	13.7229
1	1.25	13.9338
1	1.3	13.5161052631579
1	1.35	13.5909
1	1.4	13.5306
1	1.45	13.9653
1	1.5	13.6521
2	0.1	11.92
2	0.15	13.3829473684211
2	0.2	14.4026
2	0.25	14.9870526315789
2	0.3	15.3612631578947
2	0.35	15.6339
2	0.4	16.4522105263158
2	0.45	16.0154
2	0.5	15.5451
2	0.55	15.4878
2	0.6	15.1755
2	0.65	17.5903
2	0.7	16.7413
2	0.75	16.5541111111111
2	0.8	16.1144210526316
2	0.85	17.378
2	0.9	16.6518
2	0.95	16.9166
2	1	16.4232
2	1.05	16.0837
2	1.1	16.9537
2	1.15	16.9206
2	1.2	16.2907
2	1.25	17.5903
2	1.3	16.8065
2	1.35	15.8428
2	1.4	16.7909
2	1.45	16.9446
2	1.5	15.8453
3	0.1	12.552
3	0.15	14.4343
3	0.2	15.7518947368421
3	0.25	16.9253
3	0.3	16.9692631578947
3	0.35	18.2065
3	0.4	18.4868
3	0.45	17.6598947368421
3	0.5	17.9062
3	0.55	17.6979
3	0.6	19.2494
3	0.65	18.0839
3	0.7	18.2082105263158
3	0.75	19.5696
3	0.8	18.5609473684211
3	0.85	18.3477894736842
3	0.9	19.6668
3	0.95	19.1171
3	1	19.5669
3	1.05	17.5737
3	1.1	18.2921
3	1.15	17.6438947368421
3	1.2	17.5346
3	1.25	18.3763
3	1.3	16.931
3	1.35	17.1974736842105
3	1.4	16.4649
3	1.45	16.7602
3	1.5	16.9177894736842
4	0.1	13.5747
4	0.15	16.4392
4	0.2	17.9976
4	0.25	18.7505
4	0.3	19.4112
4	0.35	20.0775
4	0.4	20.3707368421053
4	0.45	20.2258
4	0.5	20.0631578947368
4	0.55	21.4936
4	0.6	20.6431
4	0.65	21.1567
4	0.7	19.9011578947368
4	0.75	19.9366315789474
4	0.8	21.0708421052632
4	0.85	20.0336
4	0.9	19.3755
4	0.95	20.4334
4	1	18.3662
4	1.05	19.6427368421053
4	1.1	18.7201
4	1.15	19.993
4	1.2	18.0624210526316
4	1.25	17.4014736842105
4	1.3	17.8788
4	1.35	16.3526315789474
4	1.4	15.1526
4	1.45	16.2981
4	1.5	16.7237
5	0.1	14.7407
5	0.15	18.5137
5	0.2	19.7956
5	0.25	20.6746
5	0.3	21.6895
5	0.35	21.7566
5	0.4	21.9621052631579
5	0.45	22.5986315789474
5	0.5	21.3269
5	0.55	22.5898
5	0.6	22.0744
5	0.65	21.2018947368421
5	0.7	21.9116
5	0.75	20.0627
5	0.8	20.7025
5	0.85	20.892
5	0.9	20.3956
5	0.95	19.6905
5	1	17.6329
5	1.05	18.2958
5	1.1	18.0287
5	1.15	16.9776
5	1.2	18.2739
5	1.25	16.8665263157895
5	1.3	16.9707
5	1.35	15.6657
5	1.4	14.898
5	1.45	15.9023157894737
5	1.5	15.0053
6	0.1	15.882
6	0.15	19.3996
6	0.2	21.7396842105263
6	0.25	21.5867
6	0.3	22.3621
6	0.35	23.349
6	0.4	23.0438
6	0.45	23.2278
6	0.5	22.9895789473684
6	0.55	23.025
6	0.6	23.5972
6	0.65	22.8117
6	0.7	22.3698
6	0.75	22.6489
6	0.8	20.0326
6	0.85	20.0696
6	0.9	19.7456
6	0.95	18.3665263157895
6	1	17.22
6	1.05	17.694
6	1.1	18.3529
6	1.15	16.9566
6	1.2	16.7756
6	1.25	16.5109473684211
6	1.3	15.7366
6	1.35	15.6134
6	1.4	14.4231578947368
6	1.45	15.2813333333333
6	1.5	15.5908
7	0.1	17.161
7	0.15	21.1628421052632
7	0.2	22.7552
7	0.25	22.5103157894737
7	0.3	25.1852
7	0.35	24.6485
7	0.4	24.4882
7	0.45	24.5838
7	0.5	23.9081052631579
7	0.55	23.7304
7	0.6	24.2227368421053
7	0.65	22.0343
7	0.7	21.5372631578947
7	0.75	21.3364
7	0.8	18.4868
7	0.85	18.4336
7	0.9	18.6582
7	0.95	18.3597
7	1	16.7202
7	1.05	15.6557894736842
7	1.1	17.0068
7	1.15	16.3230526315789
7	1.2	16.3721
7	1.25	16.0425
7	1.3	16.2184210526316
7	1.35	14.8187368421053
7	1.4	14.5585555555556
7	1.45	14.361
7	1.5	13.9323157894737
8	0.1	18.7317
8	0.15	22.9863
8	0.2	24.586
8	0.25	25.335
8	0.3	25.2124
8	0.35	25.8948
8	0.4	26.2004
8	0.45	25.6411
8	0.5	24.6561
8	0.55	24.0415
8	0.6	22.4172
8	0.65	20.8216842105263
8	0.7	20.1957
8	0.75	19.6068
8	0.8	18.4832
8	0.85	19.0365
8	0.9	17.5098
8	0.95	18.2769
8	1	16.2054
8	1.05	16.2495
8	1.1	17.1304
8	1.15	16.6969
8	1.2	16.5681
8	1.25	16.0965263157895
8	1.3	15.2046
8	1.35	14.5733684210526
8	1.4	14.7917894736842
8	1.45	14.4891
8	1.5	13.8514736842105
9	0.1	19.2514
9	0.15	23.2392631578947
9	0.2	25.346
9	0.25	25.7115
9	0.3	27.0602
9	0.35	27.1615
9	0.4	27.4312
9	0.45	24.9137
9	0.5	23.7835
9	0.55	23.2467368421053
9	0.6	21.662
9	0.65	20.5667
9	0.7	20.2969
9	0.75	19.7063
9	0.8	17.5256
9	0.85	17.5131
9	0.9	17.5238888888889
9	0.95	16.309
9	1	15.6225
9	1.05	16.6648421052632
9	1.1	16.102
9	1.15	16.1561
9	1.2	16.0116842105263
9	1.25	15.513
9	1.3	14.7548
9	1.35	14.7543
9	1.4	13.6472
9	1.45	14.3914
9	1.5	14.4238947368421
10	0.1	21.4124
10	0.15	25.2704
10	0.2	26.9055
10	0.25	28.4545
10	0.3	28.4092
10	0.35	27.3932
10	0.4	26.8598
10	0.45	26.1458947368421
10	0.5	24.0168
10	0.55	22.1161
10	0.6	22.064
10	0.65	19.8718888888889
10	0.7	18.3422
10	0.75	19.0725
10	0.8	17.1304
10	0.85	17.0474
10	0.9	17.5009
10	0.95	16.0378947368421
10	1	15.5861
10	1.05	16.1383
10	1.1	16.5221052631579
10	1.15	15.3676
10	1.2	16.0967
10	1.25	15.6055789473684
10	1.3	14.8918947368421
10	1.35	13.2682
10	1.4	13.9415789473684
10	1.45	14.0481
10	1.5	13.8075789473684
