d	f	mean
1	0.1	0
1	0.15	0.0526315789473684
1	0.2	0.15
1	0.25	0.55
1	0.3	0.7
1	0.35	1.3
1	0.4	1.25
1	0.45	1.15
1	0.5	1.9
1	0.55	1.5
1	0.6	2
1	0.65	2.05882352941176
1	0.7	2
1	0.75	2.26315789473684
1	0.8	2.55
1	0.85	2.2
1	0.9	2.1
1	0.95	2.6
1	1	2.65
1	1.05	2.8
1	1.1	3
1	1.15	3.05
1	1.2	2.65
1	1.25	3
1	1.3	2.42105263157895
1	1.35	2.7
1	1.4	3.2
1	1.45	3.45
1	1.5	2.95
2	0.1	0
2	0.15	0
2	0.2	0.6
2	0.25	1.42105263157895
2	0.3	1.94736842105263
2	0.35	3.4
2	0.4	3.89473684210526
2	0.45	4.45
2	0.5	4.3
2	0.55	3.85
2	0.6	4.35
2	0.65	5.55
2	0.7	5.3
2	0.75	4.94444444444444
2	0.8	5.26315789473684
2	0.85	6.85
2	0.9	6.55
2	0.95	6.15
2	1	6.45
2	1.05	5.8
2	1.1	7.45
2	1.15	6.7
2	1.2	6.05
2	1.25	8.1
2	1.3	6.8
2	1.35	5.95
2	1.4	7.2
2	1.45	7
2	1.5	6.3
3	0.1	0
3	0.15	0.35
3	0.2	1.42105263157895
3	0.25	2.6
3	0.3	3.63157894736842
3	0.35	6.05
3	0.4	7.2
3	0.45	6.57894736842105
3	0.5	6.35
3	0.55	6.7
3	0.6	8.4
3	0.65	7.7
3	0.7	7.10526315789474
3	0.75	8.65
3	0.8	8.47368421052632
3	0.85	9
3	0.9	9.5
3	0.95	9.2
3	1	9.9
3	1.05	8.25
3	1.1	9.5
3	1.15	8.63157894736842
3	1.2	9
3	1.25	9.85
3	1.3	9
3	1.35	9.78947368421053
3	1.4	8.85
3	1.45	8.65
3	1.5	9.73684210526316
4	0.1	0.1
4	0.15	0.6
4	0.2	3.5
4	0.25	4.85
4	0.3	7.5
4	0.35	7.7
4	0.4	8.68421052631579
4	0.45	9
4	0.5	9.36842105263158
4	0.55	11.6
4	0.6	9.65
4	0.65	11.85
4	0.7	10.5263157894737
4	0.75	9.21052631578947
4	0.8	11.6315789473684
4	0.85	10.8
4	0.9	11.1
4	0.95	12.6
4	1	11.05
4	1.05	12.5263157894737
4	1.1	11.4
4	1.15	11.7
4	1.2	8.8421052631579
4	1.25	8.21052631578947
4	1.3	9.55
4	1.35	8.94736842105263
4	1.4	7.3
4	1.45	8.4
4	1.5	8.9
5	0.1	0.1
5	0.15	2.1
5	0.2	4.65
5	0.25	7.55
5	0.3	9.45
5	0.35	10.6
5	0.4	10.4210526315789
5	0.45	12.2631578947368
5	0.5	10.95
5	0.55	13.3
5	0.6	13.8
5	0.65	11.5263157894737
5	0.7	12.8
5	0.75	11.95
5	0.8	13.2
5	0.85	13.15
5	0.9	12.1
5	0.95	10.9
5	1	10.25
5	1.05	10.55
5	1.1	9.8
5	1.15	8.05
5	1.2	9.3
5	1.25	7.94736842105263
5	1.3	7.85
5	1.35	8.25
5	1.4	7.05
5	1.45	7.52631578947368
5	1.5	7.2
6	0.1	0.65
6	0.15	3.75
6	0.2	6.89473684210526
6	0.25	9.55
6	0.3	10.05
6	0.35	13.2
6	0.4	12.75
6	0.45	12.55
6	0.5	13.4736842105263
6	0.55	14.85
6	0.6	15.1
6	0.65	15.8
6	0.7	14.2
6	0.75	14.4
6	0.8	12.95
6	0.85	11.7
6	0.9	10.55
6	0.95	9.36842105263158
6	1	9
6	1.05	9.47368421052632
6	1.1	10.8
6	1.15	7.65
6	1.2	7.7
6	1.25	8.05263157894737
6	1.3	7.6
6	1.35	7.8
6	1.4	6.05263157894737
6	1.45	7.27777777777778
6	1.5	7.35
7	0.1	0.6
7	0.15	4.84210526315789
7	0.2	7.85
7	0.25	10.7368421052632
7	0.3	15.25
7	0.35	13.25
7	0.4	14.95
7	0.45	15.1
7	0.5	15
7	0.55	16.05
7	0.6	15.8947368421053
7	0.65	13.3
7	0.7	12.9473684210526
7	0.75	12.95
7	0.8	11.05
7	0.85	10.3
7	0.9	10.15
7	0.95	9.8
7	1	8.7
7	1.05	7.47368421052632
7	1.1	8.05
7	1.15	8
7	1.2	7.35
7	1.25	7.1
7	1.3	7.52631578947368
7	1.35	6.47368421052632
7	1.4	6.55555555555556
7	1.45	6.25
7	1.5	5.31578947368421
8	0.1	1.05
8	0.15	5.7
8	0.2	10.6
8	0.25	14
8	0.3	15.7
8	0.35	16.5
8	0.4	18
8	0.45	17.05
8	0.5	17.55
8	0.55	15.6
8	0.6	14.55
8	0.65	12.5789473684211
8	0.7	11.35
8	0.75	11.35
8	0.8	10.75
8	0.85	10.5
8	0.9	9.2
8	0.95	9.85
8	1	8.65
8	1.05	8.25
8	1.1	8.45
8	1.15	8.4
8	1.2	8.05
8	1.25	7
8	1.3	6
8	1.35	7.05263157894737
8	1.4	6.73684210526316
8	1.45	6.55
8	1.5	5.89473684210526
9	0.1	1.6
9	0.15	7.78947368421053
9	0.2	12.2
9	0.25	15.05
9	0.3	17.95
9	0.35	18.3
9	0.4	19.3
9	0.45	17.85
9	0.5	15.65
9	0.55	14.5263157894737
9	0.6	13.6
9	0.65	12.7
9	0.7	11.5
9	0.75	11.2
9	0.8	8.65
9	0.85	9.15
9	0.9	9.27777777777778
9	0.95	7.15
9	1	6.85
9	1.05	8.63157894736842
9	1.1	7.6
9	1.15	7.3
9	1.2	7.26315789473684
9	1.25	6.8
9	1.3	6.25
9	1.35	6.75
9	1.4	5.3
9	1.45	6.15
9	1.5	6.21052631578947
10	0.1	2.2
10	0.15	7.9
10	0.2	14.15
10	0.25	18.05
10	0.3	18.95
10	0.35	18.45
10	0.4	19.8
10	0.45	18.4210526315789
10	0.5	16
10	0.55	12.7
10	0.6	13.1
10	0.65	11.9444444444444
10	0.7	9.95
10	0.75	10.45
10	0.8	9.15
10	0.85	8.55
10	0.9	8.95
10	0.95	7.68421052631579
10	1	7.15
10	1.05	8.25
10	1.1	8.78947368421053
10	1.15	6.75
10	1.2	7.55
10	1.25	6.42105263157895
10	1.3	6.10526315789474
10	1.35	5
10	1.4	6.05263157894737
10	1.45	6.15
10	1.5	5.78947368421053
