d	f	mean
1	0.1	na
1	0.15	na
1	0.2	na
1	0.25	na
1	0.3	na
1	0.35	na
1	0.4	na
1	0.45	1.73333333333333
1	0.5	1.71428571428571
1	0.55	2
1	0.6	3.8125
1	0.65	4.45
1	0.7	4.85
1	0.75	4.85
1	0.8	4.95
1	0.85	7.3
1	0.9	5.95
1	0.95	8.2
1	1	6.45
1	1.05	5.9
1	1.1	7.75
1	1.15	7.1
1	1.2	7.4
1	1.25	7.2
1	1.3	8.3
1	1.35	8.95
1	1.4	7.4
1	1.45	9.75
1	1.5	10.3
2	0.1	na
2	0.15	na
2	0.2	na
2	0.25	3.10526315789474
2	0.3	4.94736842105263
2	0.35	8.25
2	0.4	7.85
2	0.45	7.95
2	0.5	9.45
2	0.55	10.1
2	0.6	11.4
2	0.65	12.25
2	0.7	9.8
2	0.75	13.95
2	0.8	12.9
2	0.85	13.65
2	0.9	12.25
2	0.95	15.35
2	1	15.8947368421053
2	1.05	12.4
2	1.1	12.25
2	1.15	11.85
2	1.2	9.5
2	1.25	11.85
2	1.3	11.65
2	1.35	9.55
2	1.4	13.5
2	1.45	9.9
2	1.5	10.2
3	0.1	na
3	0.15	na
3	0.2	5.9375
3	0.25	8.55
3	0.3	9.25
3	0.35	10.5
3	0.4	12.15
3	0.45	14.25
3	0.5	14.35
3	0.55	14.35
3	0.6	16.65
3	0.65	17.4
3	0.7	15.15
3	0.75	16.9
3	0.8	15.8
3	0.85	14.6
3	0.9	15.35
3	0.95	13.95
3	1	11.95
3	1.05	12
3	1.1	10.45
3	1.15	11.05
3	1.2	11.4
3	1.25	11.1
3	1.3	9.65
3	1.35	11.15
3	1.4	10.65
3	1.45	10.45
3	1.5	9.2
4	0.1	na
4	0.15	4.26666666666667
4	0.2	9.2
4	0.25	10.45
4	0.3	11.7
4	0.35	17.9
4	0.4	19.2
4	0.45	15.75
4	0.5	18.15
4	0.55	17.4
4	0.6	19.4
4	0.65	16.15
4	0.7	17.4
4	0.75	16.1
4	0.8	14.5
4	0.85	15.4
4	0.9	13.05
4	0.95	14.75
4	1	11.45
4	1.05	8.9
4	1.1	10.35
4	1.15	9.65
4	1.2	8.1
4	1.25	9
4	1.3	9.65
4	1.35	8.7
4	1.4	7.55
4	1.45	9.3
4	1.5	8.95
5	0.1	na
5	0.15	10.25
5	0.2	13.2
5	0.25	13.75
