d	f	mean
1	0.1	0.7559
1	0.15	0.8306
1	0.2	1.0695
1	0.25	1.2175
1	0.3	1.2871
1	0.35	1.4969
1	0.4	1.7488
1	0.45	1.6317
1	0.5	1.6955
1	0.55	1.9698
1	0.6	1.7613
1	0.65	2.0525
1	0.7	1.9066
1	0.75	1.931
1	0.8	2.0275
1	0.85	1.7704
1	0.9	1.875
1	0.95	1.9387
1	1	2.119
1	1.05	1.7919
1	1.1	1.8277
1	1.15	1.9275
1	1.2	1.8842
1	1.25	1.8502
1	1.3	2.0594
1	1.35	1.9961
1	1.4	1.776
1	1.45	2.0068
1	1.5	2.0883
2	0.1	0.7725
2	0.15	0.9797
2	0.2	1.2685
2	0.25	1.937
2	0.3	2.2
2	0.35	2.4922
2	0.4	2.8439
2	0.45	2.8036
2	0.5	2.991
2	0.55	3.2192
2	0.6	3.0373
2	0.65	3.2107
2	0.7	2.992
2	0.75	3.2411
2	0.8	3.1376
2	0.85	3.1448
2	0.9	3.1157
2	0.95	3.0438
2	1	3.4957
2	1.05	3.3455
2	1.1	2.8711
2	1.15	2.5772
2	1.2	2.6977
2	1.25	2.7452
2	1.3	2.9044
2	1.35	2.8154
2	1.4	2.8379
2	1.45	2.7795
2	1.5	2.6201
3	0.1	0.7411
3	0.15	0.9599
3	0.2	1.4265
3	0.25	2.2685
3	0.3	2.8722
3	0.35	3.6924
3	0.4	4.0225
3	0.45	4.0817
3	0.5	4.0722
3	0.55	4.5004
3	0.6	4.4459
3	0.65	4.2684
3	0.7	4.1659
3	0.75	4.0707
3	0.8	3.8629
3	0.85	3.7539
3	0.9	3.5314
3	0.95	3.9089
3	1	3.8417
3	1.05	3.7029
3	1.1	3.798
3	1.15	3.5367
3	1.2	3.6757
3	1.25	3.8658
3	1.3	3.8135
3	1.35	3.7924
3	1.4	3.4633
3	1.45	3.8866
3	1.5	3.5014
4	0.1	0.7783
4	0.15	1.2009
4	0.2	1.8891
4	0.25	2.9942
4	0.3	3.7709
4	0.35	4.7253
4	0.4	5.0909
4	0.45	5.3569
4	0.5	5.6207
4	0.55	5.4147
4	0.6	5.1099
4	0.65	5.2243
4	0.7	4.555
4	0.75	4.5086
4	0.8	4.8092
4	0.85	5.3923
4	0.9	4.6544
4	0.95	4.8747
4	1	4.8746
4	1.05	4.5139
4	1.1	4.5496
4	1.15	4.4325
4	1.2	3.8592
4	1.25	3.5717
4	1.3	3.6523
4	1.35	3.63
4	1.4	3.6196
4	1.45	3.623
4	1.5	3.5389
5	0.1	0.9237
5	0.15	1.3135
5	0.2	2.2635
5	0.25	3.8762
5	0.3	5.1767
5	0.35	5.805
5	0.4	5.9811
5	0.45	6.1188
5	0.5	5.9766
5	0.55	6.3246
5	0.6	6.052
5	0.65	6.0009
5	0.7	5.8815
5	0.75	5.7482
5	0.8	5.8365
5	0.85	5.6541
5	0.9	5.1849
5	0.95	4.7931
5	1	4.5415
5	1.05	4.4813
5	1.1	4.8826
5	1.15	3.9393
5	1.2	3.7626
5	1.25	3.5463
5	1.3	3.4196
5	1.35	3.585
5	1.4	3.4476
5	1.45	3.4867
5	1.5	3.616
6	0.1	1.136
6	0.15	1.3002
6	0.2	2.792
6	0.25	4.927
6	0.3	6.2503
6	0.35	7.4321
6	0.4	7.2181
6	0.45	7.2657
6	0.5	7.2261
6	0.55	6.6439
6	0.6	6.8427
6	0.65	6.2781
6	0.7	6.5659
6	0.75	5.7522
6	0.8	6.14357894736842
6	0.85	5.5193
6	0.9	4.8383
6	0.95	4.8371
6	1	4.5742
6	1.05	4.5506
6	1.1	4.425
6	1.15	4.2171
