d	f	mean
1	0.1	0
1	0.15	0
1	0.2	0
1	0.25	0.2
1	0.3	0.5
1	0.35	0.6
1	0.4	1.42105263157895
1	0.45	1.45
1	0.5	1.2
1	0.55	1.4
1	0.6	1.55
1	0.65	1.65
1	0.7	1.5
1	0.75	1.9
1	0.8	1.8
1	0.85	1.75
1	0.9	1.85
1	0.95	2.6
1	1	1.5
1	1.05	1.6
1	1.1	1.9
1	1.15	2.2
1	1.2	1.68421052631579
1	1.25	1.9
1	1.3	2.3
1	1.35	2.1
1	1.4	2.25
1	1.45	1.9
1	1.5	2.6
2	0.1	0
2	0.15	0
2	0.2	0.45
2	0.25	0.75
2	0.3	1.55
2	0.35	2.05263157894737
2	0.4	2.8
2	0.45	3.5
2	0.5	3.21052631578947
2	0.55	3.05
2	0.6	4.4
2	0.65	4.15
2	0.7	3.95
2	0.75	4.31578947368421
2	0.8	4.3
2	0.85	5.25
2	0.9	4.8
2	0.95	4.9
2	1	4.9
2	1.05	5.65
2	1.1	4.6
2	1.15	4.5
2	1.2	4.55
2	1.25	4.8
2	1.3	5.2
2	1.35	5.15
2	1.4	4.85
2	1.45	4.9
2	1.5	4
3	0.1	0
3	0.15	0.05
3	0.2	0.368421052631579
3	0.25	2.55
3	0.3	3.15
3	0.35	4.1
3	0.4	4.55
3	0.45	5.7
3	0.5	5.15
3	0.55	5.1
3	0.6	6.15
3	0.65	6.3
3	0.7	6.4
3	0.75	7.6
3	0.8	7.25
3	0.85	7
3	0.9	7.6
3	0.95	7.35
3	1	7.35
3	1.05	6.15
3	1.1	6.05
3	1.15	5.7
3	1.2	5.7
3	1.25	6.1
3	1.3	5.85
3	1.35	5.8
3	1.4	5.6
3	1.45	5.6
3	1.5	5.85
4	0.1	0
4	0.15	0.4
4	0.2	1.8
4	0.25	3.65
4	0.3	4.65
4	0.35	6.65
4	0.4	6.1
4	0.45	6.7
4	0.5	8.4
4	0.55	8.85
4	0.6	9.05
4	0.65	9.1
4	0.7	7.8
4	0.75	8.15
4	0.8	8.5
4	0.85	7.1
4	0.9	7.8
4	0.95	8.35
4	1	7.4
4	1.05	7.15
4	1.1	6.8
4	1.15	6.85
4	1.2	5.8
4	1.25	5.85
4	1.3	5.35
4	1.35	5.35
4	1.4	5.2
4	1.45	5.7
4	1.5	5.35
5	0.1	0
5	0.15	0.55
5	0.2	2.6
5	0.25	5.36842105263158
5	0.3	6.05
5	0.35	8.2
5	0.4	9.4
5	0.45	10.65
5	0.5	10.3
5	0.55	10.35
5	0.6	8.8
5	0.65	10.35
5	0.7	9.25
5	0.75	9
5	0.8	8.2
5	0.85	8.1
5	0.9	6.9
5	0.95	7.7
5	1	7.3
5	1.05	6.9
5	1.1	5.4
5	1.15	6.35
5	1.2	5.35
5	1.25	5.45
5	1.3	6.25
5	1.35	5.1
5	1.4	5
5	1.45	4.9
5	1.5	6
6	0.1	0
6	0.15	1.77777777777778
6	0.2	3.8
6	0.25	7.45
6	0.3	9.35
6	0.35	12.2105263157895
6	0.4	11.1
6	0.45	12.3
6	0.5	11.1
6	0.55	10.2
6	0.6	10.6
6	0.65	10.7
6	0.7	10
6	0.75	8.35
6	0.8	8.85
6	0.85	7.05
6	0.9	6.55
6	0.95	6.8
6	1	7.05
6	1.05	6.1
6	1.1	6.6
6	1.15	5.65
6	1.2	5.85
6	1.25	5.45
6	1.3	5.25
6	1.35	5.3
6	1.4	4.6
6	1.45	5.05
6	1.5	4.5
7	0.1	0.05
7	0.15	2.2
7	0.2	6.45
7	0.25	8.4
7	0.3	13.7
7	0.35	13.15
7	0.4	13.55
7	0.45	11.6
7	0.5	11.55
7	0.55	11.2
7	0.6	10.95
7	0.65	8.2
7	0.7	8.5
7	0.75	7.45
7	0.8	8.45
7	0.85	7.2
7	0.9	7.6
7	0.95	6.25
7	1	7.1
7	1.05	5.9
7	1.1	6
7	1.15	5.45
7	1.2	5.3
7	1.25	4.2
7	1.3	4.55
7	1.35	4.45
7	1.4	4.6
7	1.45	4.6
7	1.5	4.65
8	0.1	1.10526315789474
8	0.15	3
8	0.2	5.85
8	0.25	11.15
8	0.3	14.55
8	0.35	14
8	0.4	13.25
8	0.45	12.75
8	0.5	12.05
8	0.55	10.5
8	0.6	9.05
8	0.65	9.35
8	0.7	8
8	0.75	7.15
8	0.8	7.35
8	0.85	6.1
8	0.9	6.6
8	0.95	6.25
8	1	5
8	1.05	5.5
8	1.1	5.85
8	1.15	5
8	1.2	4.75
8	1.25	4.55
8	1.3	4.35
8	1.35	4.4
8	1.4	4.55
8	1.45	3.85
8	1.5	5.55
9	0.1	0.105263157894737
9	0.15	5.45
9	0.2	9.7
9	0.25	16.95
9	0.3	14.15
9	0.35	13.1
9	0.4	13.05
9	0.45	11.55
9	0.5	11.1
9	0.55	10.5
9	0.6	9.85
9	0.65	8.25
9	0.7	7.85
9	0.75	7.25
9	0.8	7.1
9	0.85	7.55
9	0.9	6.1
9	0.95	5.25
9	1	6.15
9	1.05	5.6
9	1.1	5.4
9	1.15	5.5
9	1.2	4.55
9	1.25	5.15
9	1.3	4.25
9	1.35	3.95
9	1.4	4.2
9	1.45	4.45
9	1.5	4.4
10	0.1	0.3
10	0.15	7.47368421052632
10	0.2	11.15
10	0.25	16.5
10	0.3	15
10	0.35	13.7
10	0.4	12.45
10	0.45	11.25
10	0.5	10.65
10	0.55	9.6
10	0.6	9.25
10	0.65	8.65
10	0.7	8.45
10	0.75	7.5
10	0.8	6.8
10	0.85	6.15
10	0.9	6.55
10	0.95	6.15
10	1	5.95
10	1.05	5.2
10	1.1	5.2
10	1.15	5.55
10	1.2	4.35
10	1.25	4.3
10	1.3	4.5
10	1.35	4.45
10	1.4	3.9
10	1.45	3.85
10	1.5	4
