d	f	mean
1	0.1	0
1	0.15	0
1	0.2	0
1	0.25	0
1	0.3	0.05
1	0.35	0.25
1	0.4	0.35
1	0.45	0.35
1	0.5	0.4
1	0.55	0.3
1	0.6	0.65
1	0.65	0.35
1	0.7	0.45
1	0.75	0.4
1	0.8	0.5
1	0.85	0.6
1	0.9	0.4
1	0.95	0.631578947368421
1	1	0.5
1	1.05	0.3
1	1.1	0.6
1	1.15	0.5
1	1.2	0.3
1	1.25	0.45
1	1.3	0.4
1	1.35	0.6
1	1.4	0.45
1	1.45	0.55
1	1.5	0.45
2	0.1	0.05
2	0.15	0.15
2	0.2	0.3
2	0.25	0.45
2	0.3	0.65
2	0.35	0.75
2	0.4	0.6
2	0.45	0.6
2	0.5	0.6
2	0.55	0.6
2	0.6	0.7
2	0.65	0.65
2	0.7	0.75
2	0.75	0.6
2	0.8	0.75
2	0.85	0.7
2	0.9	0.65
2	0.95	0.8
2	1	1
2	1.05	0.7
2	1.1	0.95
2	1.15	1
2	1.2	1
2	1.25	1
2	1.3	1
2	1.35	1
2	1.4	1
2	1.45	1
2	1.5	1
3	0.1	0.25
3	0.15	0.45
3	0.2	0.75
3	0.25	0.85
3	0.3	0.7
3	0.35	0.9
3	0.4	0.75
3	0.45	0.75
3	0.5	0.85
3	0.55	0.85
3	0.6	0.85
3	0.65	1
3	0.7	0.8
3	0.75	1
3	0.8	1
3	0.85	1
3	0.9	1
3	0.95	1
3	1	1
3	1.05	1
3	1.1	1
3	1.15	1
3	1.2	1
3	1.25	1
3	1.3	1
3	1.35	1
3	1.4	1
3	1.45	1
3	1.5	1
4	0.1	0.4
4	0.15	0.55
4	0.2	0.65
4	0.25	0.95
4	0.3	0.95
4	0.35	0.8
4	0.4	0.9
4	0.45	0.9
4	0.5	0.95
4	0.55	1
4	0.6	1
4	0.65	1
4	0.7	1
4	0.75	1
4	0.8	1
4	0.85	1
4	0.9	1
4	0.95	1
4	1	1
4	1.05	1
4	1.1	1
4	1.15	1
4	1.2	1
4	1.25	1
4	1.3	1
4	1.35	1
4	1.4	1
4	1.45	1
4	1.5	1
5	0.1	0.526315789473684
5	0.15	0.8
5	0.2	0.9
5	0.25	0.85
5	0.3	0.95
5	0.35	0.95
5	0.4	1
5	0.45	1
5	0.5	1
5	0.55	1
5	0.6	1
5	0.65	1
5	0.7	1
5	0.75	1
5	0.8	1
5	0.85	1
5	0.9	1
5	0.95	1
5	1	1
5	1.05	1
5	1.1	1
5	1.15	1
5	1.2	1
5	1.25	1
5	1.3	1
5	1.35	1
5	1.4	1
5	1.45	1
5	1.5	0.95
6	0.1	0.75
6	0.15	0.85
6	0.2	0.8
6	0.25	0.9
6	0.3	0.95
6	0.35	1
6	0.4	1
6	0.45	1
6	0.5	1
6	0.55	1
6	0.6	1
6	0.65	1
6	0.7	1
6	0.75	1
6	0.8	1
6	0.85	1
6	0.9	1
6	0.95	1
6	1	1
6	1.05	1
6	1.1	1
6	1.15	1
6	1.2	1
6	1.25	1
6	1.3	1
6	1.35	1
6	1.4	1
6	1.45	1
6	1.5	1
7	0.1	0.7
7	0.15	1
7	0.2	1
7	0.25	1
7	0.3	1
7	0.35	1
7	0.4	1
7	0.45	1
7	0.5	1
7	0.55	1
7	0.6	1
7	0.65	1
7	0.7	1
7	0.75	1
7	0.8	1
7	0.85	1
7	0.9	1
7	0.95	1
7	1	1
7	1.05	1
7	1.1	1
7	1.15	1
7	1.2	1
7	1.25	1
7	1.3	1
7	1.35	1
7	1.4	0.95
7	1.45	1
7	1.5	1
8	0.1	0.9
8	0.15	0.9
8	0.2	0.95
8	0.25	1
8	0.3	1
8	0.35	1
8	0.4	1
8	0.45	1
8	0.5	1
8	0.55	1
8	0.6	1
8	0.65	1
8	0.7	1
8	0.75	1
8	0.8	1
8	0.85	1
8	0.9	1
8	0.95	1
8	1	1
8	1.05	1
8	1.1	1
8	1.15	1
8	1.2	1
8	1.25	1
8	1.3	1
8	1.35	0.95
8	1.4	1
8	1.45	1
8	1.5	1
9	0.1	1
9	0.15	1
9	0.2	0.9
9	0.25	1
9	0.3	1
9	0.35	1
9	0.4	1
9	0.45	1
9	0.5	1
9	0.55	1
9	0.6	1
9	0.65	1
9	0.7	1
9	0.75	1
9	0.8	1
9	0.85	1
9	0.9	1
9	0.95	1
9	1	1
9	1.05	1
9	1.1	1
9	1.15	1
9	1.2	1
9	1.25	1
9	1.3	1
9	1.35	1
9	1.4	1
9	1.45	1
9	1.5	1
10	0.1	0.95
10	0.15	0.95
10	0.2	1
10	0.25	1
10	0.3	1
10	0.35	1
10	0.4	1
10	0.45	1
10	0.5	1
10	0.55	1
10	0.6	1
10	0.65	1
10	0.7	1
10	0.75	1
10	0.8	1
10	0.85	1
10	0.9	1
10	0.95	1
10	1	0.95
10	1.05	1
10	1.1	1
10	1.15	1
10	1.2	1
10	1.25	1
10	1.3	1
10	1.35	1
10	1.4	0.95
10	1.45	1
10	1.5	1
