d	f	mean
1	0.1	0
1	0.15	0
1	0.2	0
1	0.25	0
1	0.3	0
1	0.35	0
1	0.4	0
1	0.45	0
1	0.5	0.1
1	0.55	0.05
1	0.6	0.05
1	0.65	0.25
1	0.7	0.3
1	0.75	0.4
1	0.8	0.65
1	0.85	0.5
1	0.9	0.55
1	0.95	0.5
1	1	0.95
1	1.05	0.8
1	1.1	0.8
1	1.15	0.85
1	1.2	0.8
1	1.25	0.9
1	1.3	1.05
1	1.35	0.9
1	1.4	0.95
1	1.45	1.05
1	1.5	1
2	0.1	0
2	0.15	0
2	0.2	0
2	0.25	0
2	0.3	0.05
2	0.35	0.05
2	0.4	0
2	0.45	0.25
2	0.5	0.1
2	0.55	0.15
2	0.6	0.6
2	0.65	0.65
2	0.7	0.9
2	0.75	1
2	0.8	1.15
2	0.85	1.3
2	0.9	1.5
2	0.95	1.55
2	1	1.65
2	1.05	1.65
2	1.1	1.95
2	1.15	1.9
2	1.2	1.9
2	1.25	1.95
2	1.3	1.95
2	1.35	2.1
2	1.4	2
2	1.45	2.25
2	1.5	2.1
3	0.1	0
3	0.15	0
3	0.2	0
3	0.25	0
3	0.3	0
3	0.35	0
3	0.4	0.15
3	0.45	0.2
3	0.5	0.7
3	0.55	0.8
3	0.6	1.3
3	0.65	1.3
3	0.7	1.45
3	0.75	1.7
3	0.8	2.05
3	0.85	2.15
3	0.9	2.15
3	0.95	2.65
3	1	2.55
3	1.05	2.8
3	1.1	2.5
3	1.15	2.65
3	1.2	2.95
3	1.25	2.9
3	1.3	2.95
3	1.35	3.1
3	1.4	3.1
3	1.45	2.6
3	1.5	2.5
4	0.1	0
4	0.15	0
4	0.2	0
4	0.25	0
4	0.3	0.05
4	0.35	0.25
4	0.4	0.3
4	0.45	0.6
4	0.5	0.85
4	0.55	0.7
4	0.6	1.5
4	0.65	2.1
4	0.7	2.2
4	0.75	2.1
4	0.8	2.65
4	0.85	3.25
4	0.9	3.65
4	0.95	3.35
4	1	3.25
4	1.05	3.4
4	1.1	3.1
4	1.15	3.05
4	1.2	3.15
4	1.25	3
4	1.3	3
4	1.35	2.8
4	1.4	3.1
4	1.45	2.8
4	1.5	2.65
5	0.1	0
5	0.15	0
5	0.2	0
5	0.25	0
5	0.3	0.1
5	0.35	0.1
5	0.4	0.35
5	0.45	0.75
5	0.5	0.5
5	0.55	1.35
5	0.6	1.8
5	0.65	1.95
5	0.7	2.45
5	0.75	2.55
5	0.8	3.55
5	0.85	3.35
5	0.9	3.8
5	0.95	3.55
5	1	3.35
5	1.05	3.35
5	1.1	3
5	1.15	3
5	1.2	3.15
5	1.25	2.9
5	1.3	3.1
5	1.35	2.75
5	1.4	2.9
5	1.45	3
5	1.5	2.85
6	0.1	0
6	0.15	0
6	0.2	0
6	0.25	0.05
6	0.3	0
6	0.35	0
6	0.4	0.4
6	0.45	0.95
6	0.5	1.4
6	0.55	2.3
6	0.6	2.4
6	0.65	2.85
6	0.7	3.35
6	0.75	3.8
6	0.8	3.7
6	0.85	3.75
6	0.9	3.7
6	0.95	3.75
6	1	3.7
6	1.05	3.4
6	1.1	3.6
6	1.15	3.25
6	1.2	2.95
6	1.25	3.05
6	1.3	3
6	1.35	3.1
6	1.4	2.57894736842105
6	1.45	2.7
6	1.5	2.63157894736842
7	0.1	0
7	0.15	0
7	0.2	0
7	0.25	0.05
7	0.3	0
7	0.35	0.1
7	0.4	0.8
7	0.45	1.25
7	0.5	1.05
7	0.55	2.45
7	0.6	2.3
7	0.65	3.3
7	0.7	3.45
7	0.75	3.95
7	0.8	4.4
7	0.85	3.5
7	0.9	3.8
7	0.95	3.7
7	1	3.7
7	1.05	3.6
7	1.1	3.65
7	1.15	3.2
7	1.2	3
7	1.25	3.3
7	1.3	3
7	1.35	3
7	1.4	2.6
7	1.45	2.85
7	1.5	2.75
8	0.1	0
8	0.15	0
8	0.2	0.1
8	0.25	0
8	0.3	0.15
8	0.35	0.5
8	0.4	1.05
8	0.45	1.15
8	0.5	3
8	0.55	3.25
8	0.6	3.05
8	0.65	3.95
8	0.7	3.75
8	0.75	3.75
8	0.8	4.1
8	0.85	4.2
8	0.9	3.57894736842105
8	0.95	3.8
8	1	3.9
8	1.05	3.65
8	1.1	3.4
8	1.15	3.2
8	1.2	2.9
8	1.25	2.9
8	1.3	2.95
8	1.35	3.05
8	1.4	2.84210526315789
8	1.45	2.95
8	1.5	2.55
9	0.1	0
9	0.15	0
9	0.2	0.05
9	0.25	0
9	0.3	0.25
9	0.35	0.3
9	0.4	0.8
9	0.45	1.8
9	0.5	2.75
9	0.55	2.6
9	0.6	3.45
9	0.65	4.75
9	0.7	4.25
9	0.75	4.3
9	0.8	4.4
9	0.85	4.2
9	0.9	3.95
9	0.95	3.8
9	1	3.55
9	1.05	3.7
9	1.1	3.45
9	1.15	3.4
9	1.2	3.05
9	1.25	2.9
9	1.3	3
9	1.35	3.1
9	1.4	3
9	1.45	2.6
9	1.5	2.8
10	0.1	0
10	0.15	0
10	0.2	0
10	0.25	0
10	0.3	0.1
10	0.35	0.7
10	0.4	1.1
10	0.45	2.05
10	0.5	2.8
10	0.55	4.2
10	0.6	4.05
10	0.65	4.6
10	0.7	4.15
10	0.75	4.3
10	0.8	4.25
10	0.85	4.2
10	0.9	3.6
10	0.95	3.5
10	1	3.6
10	1.05	3.75
10	1.1	3.35
10	1.15	3.1
10	1.2	3.1
10	1.25	2.85
10	1.3	3
10	1.35	2.75
10	1.4	3.1
10	1.45	2.63157894736842
10	1.5	2.8
