d	f	mean
1	0.1	1.2363
1	0.15	1.2878
1	0.2	1.5111
1	0.25	1.8007
1	0.3	2.0756
1	0.35	2.1456
1	0.4	2.4446
1	0.45	2.6524
1	0.5	2.5097
1	0.55	2.4759
1	0.6	2.5531
1	0.65	2.5859
1	0.7	2.5989
1	0.75	2.7847
1	0.8	2.5332
1	0.85	2.6181
1	0.9	2.577
1	0.95	2.7326
1	1	2.5674
1	1.05	2.7552
1	1.1	2.7487
1	1.15	2.4039
1	1.2	2.6273
1	1.25	2.6503
1	1.3	2.5471
1	1.35	2.3167
1	1.4	2.7573
1	1.45	2.6783
1	1.5	2.7256
2	0.1	1.2914
2	0.15	1.8064
2	0.2	1.9288
2	0.25	2.3165
2	0.3	3.0185
2	0.35	3.35
2	0.4	3.5122
2	0.45	3.6384
2	0.5	3.708
2	0.55	4.0817
2	0.6	3.9586
2	0.65	4.2054
2	0.7	3.9234
2	0.75	4.0757
2	0.8	4.2939
2	0.85	3.7298
2	0.9	3.7996
2	0.95	4.3382
2	1	4.2252
2	1.05	4.1126
2	1.1	4.151
2	1.15	4.2667
2	1.2	4.1525
2	1.25	4.504
2	1.3	4.0135
2	1.35	4.2706
2	1.4	3.933
2	1.45	3.9102
2	1.5	4.0562
3	0.1	1.3883
3	0.15	1.5222
3	0.2	2.4592
3	0.25	3.2536
3	0.3	4.43473684210526
3	0.35	4.7992
3	0.4	4.7722
3	0.45	5.3557
3	0.5	5.0583
3	0.55	5.6476
3	0.6	5.5717
3	0.65	5.4222
3	0.7	5.4747
3	0.75	4.8853
3	0.8	5.7891
3	0.85	5.5463
3	0.9	5.2758
3	0.95	5.3831
3	1	5.7354
3	1.05	5.5224
3	1.1	5.4264
3	1.15	5.6251
3	1.2	5.4236
3	1.25	4.9762
3	1.3	5.0431
3	1.35	5.3325
3	1.4	5.5427
3	1.45	4.9691
3	1.5	5.5096
4	0.1	1.4304
4	0.15	2.1329
4	0.2	2.8774
4	0.25	4.3398
4	0.3	5.0299
4	0.35	5.8841
4	0.4	6.8259
4	0.45	6.8023
4	0.5	6.662
4	0.55	6.1357
4	0.6	6.8223
4	0.65	6.4751
4	0.7	7.37
4	0.75	6.3429
4	0.8	6.3368
4	0.85	6.8703
4	0.9	6.3377
