d	f	mean
1	0.1	na
1	0.15	na
1	0.2	na
1	0.25	na
1	0.3	na
1	0.35	na
1	0.4	na
1	0.45	0.866666666666667
1	0.5	1
1	0.55	1
1	0.6	0.4375
1	0.65	0.45
1	0.7	0.65
1	0.75	0.4
1	0.8	0.45
1	0.85	0.5
1	0.9	0.5
1	0.95	0.55
1	1	0.55
1	1.05	0.4
1	1.1	0.5
1	1.15	0.5
1	1.2	0.5
1	1.25	0.4
1	1.3	0.55
1	1.35	0.55
1	1.4	0.6
1	1.45	0.55
1	1.5	0.6
2	0.1	na
2	0.15	na
2	0.2	na
2	0.25	1
2	0.3	0.789473684210526
2	0.35	0.75
2	0.4	0.65
2	0.45	0.6
2	0.5	0.5
2	0.55	0.7
2	0.6	0.7
2	0.65	0.8
2	0.7	0.65
2	0.75	0.65
2	0.8	0.7
2	0.85	0.75
2	0.9	0.85
2	0.95	1
2	1	1
2	1.05	1
2	1.1	1
2	1.15	1
2	1.2	1
2	1.25	0.9
2	1.3	0.9
2	1.35	0.95
2	1.4	0.75
2	1.45	0.9
2	1.5	0.9
3	0.1	na
3	0.15	na
3	0.2	0.6875
3	0.25	0.75
3	0.3	0.8
3	0.35	0.95
3	0.4	0.95
3	0.45	0.75
3	0.5	0.95
3	0.55	0.9
3	0.6	1
3	0.65	1
3	0.7	1
3	0.75	1
3	0.8	0.95
3	0.85	0.85
3	0.9	0.85
3	0.95	0.9
3	1	1
3	1.05	0.8
3	1.1	0.8
3	1.15	0.8
3	1.2	0.75
3	1.25	0.5
3	1.3	0.7
3	1.35	0.55
3	1.4	0.6
3	1.45	0.6
3	1.5	0.7
4	0.1	na
4	0.15	0.866666666666667
4	0.2	0.75
4	0.25	1
4	0.3	0.95
4	0.35	0.85
4	0.4	0.95
4	0.45	0.8
4	0.5	1
4	0.55	1
4	0.6	0.95
4	0.65	1
4	0.7	0.85
4	0.75	0.8
4	0.8	0.85
4	0.85	0.9
4	0.9	0.8
4	0.95	0.8
4	1	0.65
4	1.05	0.6
4	1.1	0.75
4	1.15	0.55
4	1.2	0.9
4	1.25	0.85
4	1.3	0.65
4	1.35	0.6
4	1.4	0.7
4	1.45	0.7
4	1.5	0.55
5	0.1	na
5	0.15	0.8
5	0.2	0.85
5	0.25	0.95
5	0.3	0.95
5	0.35	0.85
5	0.4	1
5	0.45	1
5	0.5	1
5	0.55	0.8
5	0.6	0.75
5	0.65	0.85
5	0.7	0.75
5	0.75	0.8
5	0.8	0.6
5	0.85	0.7
5	0.9	0.95
5	0.95	0.85
5	1	0.5
5	1.05	0.65
5	1.1	0.7
5	1.15	0.6
5	1.2	0.8
5	1.25	0.85
5	1.3	0.8
5	1.35	0.45
5	1.4	0.55
5	1.45	0.75
5	1.5	0.55
6	0.1	1
6	0.15	0.95
6	0.2	1
6	0.25	0.95
6	0.3	0.9
6	0.35	1
6	0.4	0.95
6	0.45	0.9
6	0.5	0.85
6	0.55	0.65
6	0.6	0.7
6	0.65	0.9
6	0.7	0.8
6	0.75	0.95
6	0.8	0.35
6	0.85	0.65
6	0.9	0.9
6	0.95	0.95
6	1	0.85
6	1.05	0.55
6	1.1	0.75
6	1.15	0.65
6	1.2	0.8
6	1.25	0.95
6	1.3	0.8
6	1.35	0.5
6	1.4	0.45
6	1.45	0.5
6	1.5	0.6
7	0.1	0.95
7	0.15	0.95
7	0.2	1
7	0.25	1
7	0.3	1
7	0.35	0.8
7	0.4	0.85
7	0.45	0.85
7	0.5	0.8
7	0.55	0.8
7	0.6	0.789473684210526
7	0.65	0.65
7	0.7	0.75
7	0.75	0.95
7	0.8	0.6
7	0.85	0.55
7	0.9	0.9
7	0.95	0.95
7	1	0.65
7	1.05	0.65
7	1.1	0.65
7	1.15	0.7
7	1.2	0.85
7	1.25	1
7	1.3	0.95
7	1.35	0.65
7	1.4	0.55
7	1.45	0.5
7	1.5	0.65
8	0.1	0.9
8	0.15	1
8	0.2	0.95
8	0.25	1
8	0.3	0.9
8	0.35	0.85
8	0.4	0.95
8	0.45	0.95
8	0.5	0.9
8	0.55	0.7
8	0.6	0.65
8	0.65	0.75
8	0.7	0.95
8	0.75	0.95
8	0.8	0.7
8	0.85	0.7
8	0.9	0.95
8	0.95	0.9
8	1	0.65
8	1.05	0.65
8	1.1	0.4
8	1.15	0.55
8	1.2	0.85
8	1.25	0.95
8	1.3	0.8
8	1.35	0.7
8	1.4	0.55
8	1.45	0.6
8	1.5	0.45
9	0.1	1
9	0.15	0.95
9	0.2	1
9	0.25	0.9
9	0.3	0.9
9	0.35	0.9
9	0.4	0.8
9	0.45	0.95
9	0.5	0.65
9	0.55	0.75
9	0.6	0.85
9	0.65	0.7
9	0.7	0.85
9	0.75	0.95
9	0.8	0.45
9	0.85	0.65
9	0.9	0.85
9	0.95	1
9	1	0.65
9	1.05	0.6
9	1.1	0.75
9	1.15	0.65
9	1.2	1
9	1.25	0.85
9	1.3	0.8
9	1.35	0.7
9	1.4	0.35
9	1.45	0.6
9	1.5	0.75
10	0.1	1
10	0.15	1
10	0.2	1
10	0.25	0.95
10	0.3	0.95
10	0.35	1
10	0.4	0.95
10	0.45	0.75
10	0.5	0.6
10	0.55	1
10	0.6	0.85
10	0.65	0.8
10	0.7	0.6
10	0.75	1
10	0.8	0.7
10	0.85	0.7
10	0.9	0.9
10	0.95	0.95
10	1	0.5
10	1.05	0.7
10	1.1	0.6
10	1.15	0.75
10	1.2	0.85
10	1.25	0.95
10	1.3	0.75
10	1.35	0.65
10	1.4	0.4
10	1.45	0.55
10	1.5	0.6
