d	f	mean
1	0.1	na
1	0.15	na
1	0.2	na
1	0.25	na
1	0.3	na
1	0.35	na
1	0.4	na
1	0.45	na
1	0.5	na
1	0.55	na
1	0.6	na
1	0.65	na
1	0.7	na
1	0.75	na
1	0.8	na
1	0.85	na
1	0.9	na
1	0.95	na
1	1	na
1	1.05	na
1	1.1	na
1	1.15	na
1	1.2	na
1	1.25	na
1	1.3	na
1	1.35	na
1	1.4	na
1	1.45	na
1	1.5	na
2	0.1	na
2	0.15	na
2	0.2	na
2	0.25	na
2	0.3	na
2	0.35	na
2	0.4	na
2	0.45	na
2	0.5	na
2	0.55	na
2	0.6	na
2	0.65	na
2	0.7	na
2	0.75	na
2	0.8	na
2	0.85	na
2	0.9	na
2	0.95	na
2	1	na
2	1.05	0.9
2	1.1	1
2	1.15	1
2	1.2	1
2	1.25	1
2	1.3	1
2	1.35	1
2	1.4	1
2	1.45	1
2	1.5	0.947368421052632
3	0.1	na
3	0.15	na
3	0.2	na
3	0.25	na
3	0.3	na
3	0.35	na
3	0.4	na
3	0.45	na
3	0.5	na
3	0.55	na
3	0.6	na
3	0.65	na
3	0.7	1
3	0.75	1
3	0.8	0.9
3	0.85	0.95
3	0.9	1
3	0.95	0.95
3	1	1
3	1.05	1
3	1.1	1
3	1.15	1
3	1.2	1
3	1.25	1
3	1.3	1
3	1.35	0.95
3	1.4	1
3	1.45	1
3	1.5	1
4	0.1	na
4	0.15	na
4	0.2	na
4	0.25	na
4	0.3	na
4	0.35	na
4	0.4	na
4	0.45	na
4	0.5	0
4	0.55	0.9
4	0.6	0.95
4	0.65	1
4	0.7	0.95
4	0.75	1
4	0.8	1
4	0.85	1
4	0.9	0.95
4	0.95	1
4	1	1
4	1.05	1
4	1.1	1
4	1.15	1
4	1.2	1
4	1.25	1
4	1.3	1
4	1.35	1
4	1.4	1
4	1.45	1
4	1.5	1
5	0.1	na
5	0.15	na
5	0.2	na
5	0.25	na
5	0.3	na
5	0.35	na
5	0.4	0
5	0.45	0.9
5	0.5	0.9
5	0.55	1
5	0.6	1
5	0.65	1
5	0.7	1
5	0.75	1
5	0.8	1
5	0.85	1
5	0.9	1
5	0.95	1
5	1	1
5	1.05	1
5	1.1	1
5	1.15	1
5	1.2	1
5	1.25	1
5	1.3	1
5	1.35	1
5	1.4	1
5	1.45	1
5	1.5	1
6	0.1	na
6	0.15	na
6	0.2	na
6	0.25	na
6	0.3	na
6	0.35	0.842105263157895
6	0.4	0.95
6	0.45	0.95
6	0.5	0.95
6	0.55	1
6	0.6	1
6	0.65	1
6	0.7	1
6	0.75	1
6	0.8	1
6	0.85	1
6	0.9	1
6	0.95	1
6	1	1
6	1.05	1
6	1.1	0.95
6	1.15	1
6	1.2	1
6	1.25	1
6	1.3	1
6	1.35	1
6	1.4	1
6	1.45	0.947368421052632
6	1.5	1
7	0.1	na
7	0.15	na
7	0.2	na
7	0.25	na
7	0.3	0.473684210526316
7	0.35	1
7	0.4	0.95
7	0.45	1
7	0.5	1
7	0.55	1
7	0.6	1
7	0.65	1
7	0.7	1
7	0.75	1
7	0.8	1
7	0.85	1
7	0.9	1
7	0.95	1
7	1	1
7	1.05	1
7	1.1	1
7	1.15	1
7	1.2	1
7	1.25	1
7	1.3	1
7	1.35	0.95
7	1.4	1
7	1.45	1
7	1.5	1
8	0.1	na
8	0.15	na
8	0.2	na
8	0.25	0
8	0.3	0.95
8	0.35	1
8	0.4	1
8	0.45	1
8	0.5	1
8	0.55	1
8	0.6	1
8	0.65	1
8	0.7	1
8	0.75	1
8	0.8	1
8	0.85	1
8	0.9	1
8	0.95	1
8	1	0.947368421052632
8	1.05	1
8	1.1	1
8	1.15	1
8	1.2	1
8	1.25	1
8	1.3	1
8	1.35	1
8	1.4	1
8	1.45	1
8	1.5	1
9	0.1	na
9	0.15	na
9	0.2	na
9	0.25	0.85
9	0.3	1
9	0.35	1
9	0.4	1
9	0.45	1
9	0.5	1
9	0.55	1
9	0.6	1
9	0.65	1
9	0.7	1
9	0.75	1
9	0.8	1
9	0.85	1
9	0.9	1
9	0.95	1
9	1	1
9	1.05	1
9	1.1	1
9	1.15	1
9	1.2	1
9	1.25	1
9	1.3	1
9	1.35	1
9	1.4	1
9	1.45	0.95
9	1.5	1
10	0.1	na
10	0.15	na
10	0.2	na
10	0.25	0.9
10	0.3	1
10	0.35	1
10	0.4	1
10	0.45	1
10	0.5	1
10	0.55	1
10	0.6	1
10	0.65	1
10	0.7	1
10	0.75	1
10	0.8	1
10	0.85	1
10	0.9	1
10	0.95	1
10	1	1
10	1.05	1
10	1.1	1
10	1.15	1
10	1.2	1
10	1.25	1
10	1.3	1
10	1.35	1
10	1.4	0.947368421052632
10	1.45	1
10	1.5	0.95
